labels,Algeria,Argentina,Australia,Austria,Belarus,BelgiumLuxembourg,BosniaHerzegovina,Brazil,Bulgaria,Canada,Chile,China,HongKong,CostaRica,Czechia,Denmark,Egypt,Estonia,France,Germany,Guatemala,Guinea,Indonesia,Iran,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Lebanon,Malaysia,Mexico,Mongolia,Morocco,Netherlands,NewZealand,Norway,Taiwan,Pakistan,Peru,Poland,Portugal,Qatar,SKorea,Russia,SaudiArabia,Serbia,Singapore,Slovenia,SACU,Spain,Palestine,Sweden,Switzerland,Syria,Thailand,Tunisia,Turkey,Ukraine,UAE,UK,Tanzania,USA,Uzbekistan,Vietnam,Zambia,Zimbabwe
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73376330.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19425961.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,0,0,0,0,0,0,0,0,0,0,0,2399930173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UK,0,0,0,0,0,469778187.8,0,0,0,0,0,0,0,0,0,0,0,0,0,266679150.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,0,0,0,0,0,0,0,426838476.2,0,1622297445,0,0,0,107932478,0,0,0,0,0,0,196807003.5,0,0,0,0,0,0,0,0,0,0,0,0,3154745504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,263957700.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,77351710.42,0,0,0,0,0,0,0,0,0,0,108870342.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
