reporter,partner,year,classification,commodity_code,commodity,trade_flow_code,trade_flow,qty,qty_unit,trade_value_us
Belgium,Togo,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,530,Weight in kilograms,19154
Belgium,United Arab Emirates,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,120811,Weight in kilograms,313673
Belgium,United Arab Emirates,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,1902650,Weight in kilograms,340961
Belgium,Tunisia,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,462960,Weight in kilograms,423943
Belgium,Turkey,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,124205,Weight in kilograms,83083
Belgium,Turkey,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,71020733,Weight in kilograms,13239279
Belgium,Ukraine,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,22540,Weight in kilograms,3284
Belgium,North Macedonia,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,141380,Weight in kilograms,41310
Belgium,Egypt,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,100370,Weight in kilograms,47443
Belgium,United Kingdom,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,11726741,Weight in kilograms,6225257
Belgium,United Kingdom,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,5742701,Weight in kilograms,3672069
Belgium,USA,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,3140161,Weight in kilograms,1966063
Belgium,USA,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,7706547,Weight in kilograms,2655132
Belize,World,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,156332,Weight in kilograms,59423
Belize,World,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,466169,Weight in kilograms,87791
Belize,China,2018,H5,3915,"Waste, parings and scrap, of plastics",2,Export,11000,Weight in kilograms,1109
Belize,Guatemala,2018,H5,3915,"Waste, parings and scrap, of plastics",1,Import,73,Weight in kilograms,54
